,Year,Month,Positive_score,Negative_score,Neutral_score,Weekly Cases,New Historic Cases
0,2009,4,0.537,0.013,0.45,,
1,2009,6,0.547,0,0.453,,
2,2009,7,0.383,0,0.617,,
3,2009,9,0.446,0.038,0.516,,
4,2009,10,0.3595,0,0.6405,,
5,2009,11,0.299,0.009,0.692,,
6,2009,12,0.486,0.022,0.492,,
7,2010,1,0.466,0,0.534,,
8,2010,2,0.473666667,0.022666667,0.503666667,,
9,2010,3,0.442333333,0.019333333,0.538666667,,
10,2010,4,0.485666667,0.038333333,0.476,,
11,2010,9,0.576,0.028,0.396,,
12,2010,10,0.563,0,0.437,,
13,2010,11,0.584666667,0.025333333,0.39,,
14,2011,2,0.493333333,0.031333333,0.475666667,,
15,2011,4,0.509666667,0.043666667,0.446666667,,
16,2011,6,0.488,0,0.512,,
17,2011,7,0.328,0,0.672,,
18,2011,8,0.514,0,0.486,,
19,2011,9,0.451,0.018714286,0.530285714,,
20,2011,10,0.404333333,0.031666667,0.564,,
21,2011,11,0.3245,0.073625,0.602,,
22,2011,12,0.541444444,0.013888889,0.444777778,,
23,2012,1,0.4445,0.0135,0.541928571,,
24,2012,2,0.466352941,0.021176471,0.512588235,,
25,2012,3,0.493944444,0.009722222,0.496277778,,
26,2012,4,0.47156,0.0132,0.51524,,
27,2012,5,0.508807692,0.009192308,0.482076923,,
28,2012,6,0.485588235,0.0035,0.510911765,,
29,2012,7,0.442972222,0.014,0.543055556,,
30,2012,8,0.494888889,0.005088889,0.500066667,,
31,2012,9,0.472666667,0.018422222,0.508955556,,
32,2012,10,0.454392857,0.018785714,0.526839286,,
33,2012,11,0.440846154,0.018076923,0.541096154,,
34,2012,12,0.444210526,0.018526316,0.537157895,,
35,2013,1,0.427820513,0.020410256,0.55174359,,
36,2013,2,0.466553191,0.012085106,0.521361702,,
37,2013,3,0.44119403,0.026776119,0.532014925,,
38,2013,4,0.445021505,0.019150538,0.535774194,,
39,2013,5,0.475702703,0.009337838,0.514945946,,
40,2013,6,0.460297619,0.0125,0.527190476,,
41,2013,7,0.464152941,0.016329412,0.519529412,,
42,2013,8,0.49554321,0.01017284,0.494283951,,
43,2013,9,0.47782,0.01066,0.51155,,
44,2013,10,0.451787037,0.010037037,0.538175926,,
45,2013,11,0.482383838,0.017666667,0.499939394,,
46,2013,12,0.463204819,0.020674699,0.516084337,,
47,2014,1,0.446207921,0.012891089,0.540910891,,
48,2014,2,0.434402174,0.017086957,0.548478261,,
49,2014,3,0.453180723,0.01536747,0.531463855,,
50,2014,4,0.455366013,0.018039216,0.526568627,,
51,2014,5,0.448436242,0.013100671,0.538456376,,
52,2014,6,0.448095694,0.015535885,0.536368421,,
53,2014,7,0.435492611,0.017931034,0.546615764,,
54,2014,8,0.443853556,0.014723849,0.541435146,,
55,2014,9,0.448544444,0.015644444,0.535788889,,
56,2014,10,0.459262821,0.013682692,0.527051282,,
57,2014,11,0.467846154,0.009104895,0.523031469,,
58,2014,12,0.460878641,0.015694175,0.523402913,,
59,2015,1,0.448091241,0.014627737,0.537277372,,
60,2015,2,0.453381818,0.015956364,0.530665455,,
61,2015,3,0.464753937,0.015240157,0.519984252,,
62,2015,4,0.448231618,0.013689338,0.538068015,,
63,2015,5,0.461392679,0.011986689,0.526622296,,
64,2015,6,0.441936267,0.013531108,0.544526555,,
65,2015,7,0.45418958,0.011759768,0.532603473,,
66,2015,8,0.461949086,0.011924282,0.526109661,,
67,2015,9,0.454351449,0.013524155,0.532112319,,
68,2015,10,0.45925567,0.013379381,0.527370103,,
69,2015,11,0.471622036,0.012754533,0.515619247,,
70,2015,12,0.456449909,0.012965392,0.530591985,,
71,2016,1,0.46334104,0.013232659,0.523432081,,
72,2016,2,0.464976829,0.013720732,0.521308537,,
73,2016,3,0.461470636,0.012354787,0.526173773,,
74,2016,4,0.465273932,0.011956554,0.522766568,,
75,2016,5,0.460050857,0.012284135,0.527670536,,
76,2016,6,0.470131378,0.013838123,0.515440469,,
77,2016,7,0.467097015,0.013036247,0.519859808,,
78,2016,8,0.46996156,0.011067835,0.518404183,,
79,2016,9,0.470958961,0.013581818,0.514947532,,
80,2016,10,0.483458904,0.012172844,0.503564867,,
81,2016,11,0.476635739,0.012975945,0.51039118,,
82,2016,12,0.486492584,0.010147541,0.502579235,,
83,2017,1,0.489990058,0.011040936,0.498389474,,
84,2017,2,0.500407428,0.010881823,0.487019133,,
85,2017,3,0.495990364,0.011623483,0.490956103,,
86,2017,4,0.498152237,0.011542967,0.489341165,,
87,2017,5,0.499651156,0.010749392,0.487770681,,
88,2017,6,0.491181515,0.012655322,0.49550317,,
89,2017,7,0.487795405,0.013304054,0.496474054,,
90,2017,8,0.48954785,0.011836338,0.496950347,,
91,2017,9,0.492069955,0.013126254,0.490067168,,
92,2017,10,0.492295002,0.011711548,0.494052887,,
93,2017,11,0.498026005,0.011408646,0.488207025,,
94,2017,12,0.49899878,0.011427003,0.487544124,,
95,2018,1,0.497683036,0.012543155,0.489031622,,
96,2018,2,0.50027029,0.012196739,0.486082971,,
97,2018,3,0.500353595,0.012268088,0.485561352,,
98,2018,4,0.492063162,0.012464417,0.495038719,,
99,2018,5,0.492475124,0.011914371,0.492439445,,
100,2018,6,0.499826495,0.011846792,0.487018333,,
101,2018,7,0.50412374,0.011979443,0.481922712,,
102,2018,8,0.506971759,0.011387919,0.479875858,,
103,2018,9,0.507662498,0.012775061,0.477140004,,
104,2018,10,0.507842281,0.011985184,0.477943922,,
105,2018,11,0.510608102,0.011098415,0.475430647,,
106,2018,12,0.508493641,0.011096714,0.478284844,,
107,2019,1,0.51700852,0.011350049,0.470667965,,
108,2019,2,0.516520204,0.012009769,0.469027753,,
109,2019,3,0.514867953,0.01210116,0.471277043,,
110,2019,4,0.510025808,0.011931083,0.475917187,,
111,2019,5,0.512631622,0.012372611,0.473085063,,
112,2019,6,0.512987651,0.012882272,0.471247393,,
113,2019,7,0.511187959,0.012080728,0.474553819,,
114,2019,8,0.514668112,0.012304743,0.470789422,,
115,2019,9,0.511806272,0.011842691,0.474201442,,
116,2019,10,0.511613612,0.012209566,0.47267536,,
117,2019,11,0.515007174,0.012215959,0.469994583,,
118,2019,12,0.516949243,0.011646918,0.468447028,,
119,2020,1,0.518405344,0.012340795,0.466652611,6,0
120,2020,2,0.522325199,0.012869175,0.46243213,59,0
121,2020,3,0.51791942,0.014075942,0.464909565,69573,0
122,2020,4,0.555878049,0.012752613,0.422663763,981578,0
123,2020,5,0.553384576,0.013992288,0.426967095,651182,0
124,2020,6,0.537635699,0.01391766,0.446552546,665758,0
125,2020,7,0.537208113,0.013460513,0.446394082,2040445,0
126,2020,8,0.531558909,0.01453963,0.450979163,1402311,0
127,2020,9,0.531954214,0.013621078,0.452056838,1419174,0
128,2020,10,0.525905292,0.01392304,0.457431752,1652108,0
129,2020,11,0.534600822,0.012978261,0.450025505,4019210,0
130,2020,12,0.529618686,0.014697594,0.453732712,6981632,0
131,2021,1,0.531927558,0.013155793,0.452300895,5834777,0
132,2021,2,0.526349154,0.015337406,0.454314615,2699815,0
133,2021,3,0.531390704,0.012963707,0.452995812,2070123,0
134,2021,4,0.526795242,0.01379949,0.456128535,1772636,0
135,2021,5,0.526786019,0.014361832,0.454885844,949788,0
136,2021,6,0.524782648,0.014176621,0.458393242,474143,0
137,2021,7,0.520114207,0.014990907,0.461976057,1031927,0
138,2021,8,0.525861583,0.014042,0.457409159,3587854,0
139,2021,9,0.521990698,0.014474465,0.460901018,5052523,0
140,2021,10,0.522798275,0.014727682,0.458873668,2364259,0
141,2021,11,0.526852501,0.013850298,0.456632033,2324744,0
142,2021,12,0.522091921,0.014391645,0.459698049,5601661,0
143,2022,1,0.531867168,0.014545512,0.449459145,19641851,0
144,2022,2,0.532068277,0.014241008,0.451283982,5636657,0
145,2022,3,0.526693397,0.014354506,0.455444356,1233523,0
146,2022,4,0.521452219,0.014849238,0.461784739,1081163,0
147,2022,5,0.524392119,0.014333645,0.458855957,2508596,0
148,2022,6,0.523131506,0.014447181,0.459140108,3679266,0
149,2022,7,0.521670911,0.014851342,0.46084251,3475257,0
150,2022,8,0.525156319,0.015112503,0.456090903,3571569,0
151,2022,9,0.531818262,0.012755319,0.45277039,1736982,0
